animal	bli_dpi	flux
14121	40	603000
14123	40	530000
14125	43	951000
14126	43	554000
14127	43	546000
14076	52	526000
14077	52	522000
14046	53	306000
14049	53	105000
14075	58	386000
14060	59	1120000
14061	59	640000
14063	59	707000
14052	62	725000
14054	62	611000
14055	62	625000
14067	63	338000
14068	63	921000
14069	63	601000
14070	63	473000
14071	63	515000
14072	63	370000
14016	65	459000
14021	65	551000
14022	65	300000
14027	65	600000
14031	65	340000
14035	65	244000
14036	65	232000
13982	68	395000
13983	68	501000
13984	68	358000
13985	68	733000
13986	68	602000
13987	68	473000
14005	68	379000
14007	68	519000
13970	72	317000
13974	72	232000
13975	72	209000
13960	73	444000
14121	73	586000
14123	73	305000
14125	76	376000
14126	76	598000
13954	77	406111.1111111111
13955	77	636000
13958	77	394000
13959	77	314000
13916	78	302000
13917	78	242000
13934	80	315000
13935	80	441000
13936	80	324000
13937	80	454000
13850	82	346000
13851	82	270000
13946	82	1270000
13947	82	794000
13949	82	660000
14076	85	396000
14077	85	560000
14046	86	304000
14049	86	293000
14075	91	373000
14060	92	284000
14061	92	382000
14063	92	318000
13859	95	208000
14052	95	538888.8888888889
14054	95	438000
14055	95	152000
13865	96	136000
13866	96	389000
13867	96	328000
14067	96	364000
14068	96	572000
14069	96	167000
14070	96	267000
14071	96	382000
14072	96	261000
14016	98	216000
14021	98	233000
14022	98	265000
14027	98	449000
14031	98	413000
14035	98	110000
14036	98	150000
14121	100	407400
14123	100	195600
13982	101	582000
13983	101	640000
13984	101	519000
13985	101	275000
13986	101	587000
13987	101	280000
14005	101	150000
14007	101	350000
14125	103	427200
14126	103	534900
13970	105	503000
13974	105	302000
13975	105	207000
13960	106	452000
13954	110	212777.77777777778
13955	110	370000
13958	110	206000
13959	110	163000
13916	111	116000
13917	111	221000
14076	112	195100
14077	112	187100
13934	113	230000
13935	113	658000
13936	113	669000
13937	113	408000
14046	113	212600
14049	113	429900
13850	115	369000
13851	115	361000
13946	115	693000
13947	115	302000
13949	115	344000
14075	118	236700
14060	119	242400
14061	119	242900
14063	119	192700
14052	122	238333.3333333333
14054	122	208800
14055	122	252700
14067	123	531200
14068	123	894800
14069	123	393400
14070	123	611900
14071	123	158500
14072	123	208600
14016	125	406800
14021	125	266500
14022	125	186100
14031	125	327200
14035	125	148700
14036	125	122600
13859	128	290000
13982	128	278300
13983	128	479000
13984	128	518700
13985	128	421200
13986	128	375600
13987	128	334600
14005	128	846600
14007	128	530777.7777777778
14121	128	377400
14123	128	162300
13865	129	227000
13866	129	348000
13867	129	66900
14125	131	237300
14126	131	276600
13970	132	278400
13974	132	256600
13975	132	680200
13960	133	242200
13954	137	280222.2222222222
13955	137	746666.6666666666
13958	137	163000
13959	137	230700
13916	138	303900
13917	138	207600
13934	140	413600
13935	140	397500
13936	140	420200
13937	140	796000
14076	140	120400
14077	140	142500
14046	141	285300
14049	141	465200
13850	142	199500
13851	142	316700
13946	142	122700
13947	142	191000
13949	142	299100
14075	146	108000
14060	147	417300
14061	147	329500
14063	147	426100
14052	150	115055.55555555555
14054	150	328700
14055	150	514500
14067	151	368300
14068	151	401700
14069	151	225800
14070	151	294300
14071	151	205500
14072	151	154000
14016	153	138800
14021	153	202300
